Date,HistVaR_95,HistVaR_99,HistES_97.5,ParamVaR_Norm_95,ParamVaR_Norm_99,ParamES_Norm_97.5,ParamVaR_T_95,ParamVaR_T_99,ParamES_T_97.5,MCVaR_95,MCVaR_99,MC_ES_97.5
2023-03-21,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.021173023658071846,-0.02991843042865639,-0.030065427882069708,-0.02078619870516603,-0.03139304361934466,-0.03194533567572337,-0.020999841534034714,-0.02960609481549333,-0.029808855771092543
2023-03-22,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.02122034709436086,-0.029971076932869895,-0.030118163859243107,-0.02084788858802433,-0.03142001759271755,-0.031961944832772135,-0.021258266876375023,-0.030097611346535356,-0.030152681965548357
2023-03-23,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.021218551207761754,-0.029971853101804582,-0.030118983260656672,-0.020847189077199704,-0.031406498918252826,-0.03194447105432094,-0.02117334424340536,-0.02962577355219155,-0.029846402228812043
2023-03-24,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.021198307839764126,-0.029949772265779866,-0.030096871539491015,-0.020820631493573185,-0.03139320215689925,-0.03193506220760065,-0.021026593043764936,-0.029761781480695266,-0.029918436500154025
2023-03-27,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.02120161435079224,-0.0299278144151129,-0.030074489031980896,-0.020811695016675964,-0.03146895031604731,-0.03203946915393077,-0.021177414647647094,-0.030014882805361617,-0.030104966728433147
2023-03-28,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.021199064077005947,-0.02992526308050528,-0.030071937679542426,-0.020808397464782524,-0.03146597169944589,-0.032036576264980035,-0.021160100149398866,-0.030028383504618818,-0.030111162997843822
2023-03-29,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.021190567055473536,-0.02992856755514269,-0.030075440520011057,-0.020804622925131768,-0.03140660065111684,-0.03195958678168458,-0.021167152822512074,-0.030062358852986804,-0.030243937021138617
2023-03-30,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.021190040291548397,-0.029920630600381023,-0.030067379010816322,-0.020799386715675057,-0.03143444670637255,-0.03199799596291867,-0.021085449431205057,-0.029766556622701727,-0.02993933747881654
2023-03-31,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.021157634454579605,-0.029900002951339773,-0.030046949335828948,-0.020765212608982286,-0.031353841225531344,-0.031902244038675226,-0.02121027884566181,-0.02996526531035754,-0.030153692168135716
2023-04-03,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.0210514235250582,-0.02978097900726337,-0.02992771002378173,-0.020632290850517834,-0.03128194086373191,-0.03184967980949375,-0.021092764385638577,-0.029686401912139036,-0.029868886517432133
2023-04-04,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.02107793185123628,-0.029810610170399186,-0.029957393677223856,-0.020667785015408308,-0.031294979960385445,-0.031856008172878945,-0.02107278921029579,-0.0297774690874611,-0.029870997369741383
2023-04-05,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.021109018906071527,-0.029834754406974685,-0.029981421215213404,-0.020703341069528102,-0.031360688585726236,-0.03193143159118149,-0.02106025073538566,-0.02966944133417199,-0.02989625057705821
2023-04-06,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.02095792134099335,-0.029652682168380216,-0.029798828337814286,-0.020521191273300182,-0.03128168217850444,-0.0318884283899247,-0.020991543963900666,-0.029501296324829063,-0.029626053636740392
2023-04-10,-0.01977875462262622,-0.03322693875039731,-0.033022646981141976,-0.020849191702474786,-0.029522011365731005,-0.029667788736395993,-0.020384567835025482,-0.031245624936873842,-0.031886049523176585,-0.020646839391385494,-0.029203744843685868,-0.029297115565191722
